,input,output
0,0.16830468746329907,0.39
1,0.49705473232455566,0.54
2,0.9216415883254392,0.7
3,0.44597200903524303,0.37
4,0.31419072728147834,0.49
5,0.26893765416984905,0.42
6,0.38478950832653225,0.42
7,0.8592048102457551,0.61
8,0.07140506173425387,0.34
9,0.08561176399270465,0.28
10,0.17263975991955216,0.36
11,0.46596099772065,0.41
12,0.8391597127714026,0.65
13,0.22340894344531104,0.39
14,0.4441659518187061,0.5
15,0.6113547479412501,0.59
16,0.9364615886903694,0.74
17,0.662664982119666,0.62
18,0.6095802992707915,0.65
19,0.7367280013864651,0.54
20,0.5021237022440991,0.56
21,0.3275213934416362,0.48
22,0.9586462098547246,0.69
23,0.5863169141791339,0.56
24,0.9950772767894818,0.64
25,0.918244617860984,0.68
26,0.8206701903777723,0.7
27,0.5674803793531588,0.47
28,0.5230406820771883,0.46
29,0.5172219216081628,0.52
30,0.7485543201827293,0.6
31,0.25860794158791056,0.29
32,0.46918134922456456,0.42
33,0.24547296507071958,0.45
34,0.9828177998901678,0.7
35,0.5161276066075257,0.49
36,0.3278849092013687,0.41
37,0.5343904735372137,0.4
38,0.10186348052635885,0.37
39,0.12536271640703522,0.35
40,0.7756006637098896,0.59
41,0.23471190209422677,0.31
42,0.3959596880207831,0.45
43,0.12301281974954259,0.37
44,0.3336344159014777,0.46
45,0.08642723020551812,0.32
46,0.8644973170896467,0.65
47,0.9744518366767703,0.66
48,0.1023584228909038,0.31
49,0.8544985421846235,0.64
50,0.0421480639166415,0.41
51,0.10990681790418699,0.3
52,0.14754951526063276,0.37
53,0.8838055709093284,0.69
54,0.5080452061917238,0.43
55,0.9605205876571266,0.67
56,0.2324993560838131,0.47
57,0.15192132715433693,0.33
58,0.09034453196147985,0.32
59,0.00037138055429963845,0.32
60,0.729639955501605,0.62
61,0.6715479190684807,0.57
62,0.14669393358755045,0.44
63,0.8246466715099635,0.63
64,0.9731656453142234,0.62
65,0.5765585496053964,0.54
66,0.7118823422648852,0.58
67,0.016578535562460694,0.4
68,0.048522467811833,0.4
69,0.7825020664486473,0.58
70,0.22369054514569986,0.44
71,0.24868498521890503,0.39
72,0.7262268345901156,0.52
73,0.10590596828828913,0.45
74,0.6502638864089616,0.59
75,0.0113929551722044,0.3
76,0.6503965696432547,0.58
77,0.39989967452635755,0.42
78,0.7848664929387205,0.57
79,0.7818044261721273,0.64
80,0.7369621645287012,0.6
81,0.8052573609320697,0.66
82,0.3998050354666183,0.41
83,0.3932696576467596,0.46
84,0.6052938502431652,0.51
85,0.12335015088528822,0.36
86,0.780516712968897,0.68
87,0.547476653776955,0.56
88,0.5683486990443325,0.54
89,0.09193619853522594,0.38
90,0.6002158731683368,0.55
91,0.6393202000560151,0.62
92,0.2692518181326886,0.45
93,0.47218663736474753,0.54
94,0.3116352738848063,0.44
95,0.4196197906998508,0.39
96,0.3569156435672691,0.46
97,0.5611319109492855,0.53
98,0.42915379290724165,0.47
99,0.19870521479388237,0.4
100,0.5579104354080797,0.44
101,0.7001189460869692,0.57
102,0.32333386728832547,0.34
103,0.4205366869613535,0.46
104,0.6521569722836464,0.5
105,0.3154496926183834,0.39
106,0.8502758604953083,0.64
107,0.8137515407947008,0.6
108,0.9331404858539284,0.59
109,0.4687233797859277,0.48
110,0.5238525652747494,0.46
111,0.11381117362854198,0.33
112,0.4279336653154382,0.46
113,0.9115833006707783,0.69
114,0.28810729931573287,0.44
115,0.7575032576008053,0.63
116,0.5574962744529729,0.55
117,0.8040856405493954,0.59
118,0.5649111548651761,0.54
119,0.17047654827474568,0.42
120,0.022209968043866768,0.44
121,0.11257311627266398,0.28
122,0.04619005163112744,0.32
123,0.11305905867628596,0.39
124,0.39619852562641866,0.4
125,0.5163697773269772,0.54
126,0.7244309785181797,0.69
127,0.7591727867165873,0.61
128,0.9157789741601935,0.66
129,0.3902411059181843,0.5
130,0.537799872988654,0.47
131,0.06946885109448098,0.38
132,0.9798448350960044,0.68
133,0.4452185293956785,0.41
134,0.9227347285147934,0.67
135,0.40318034743588704,0.51
136,0.6397923249784704,0.53
137,0.14890198670604649,0.34
138,0.04516170165823119,0.34
139,0.8215171298727604,0.63
140,0.36002661429372074,0.46
141,0.5846382112878532,0.56
142,0.592058743611071,0.59
143,0.7251636697563714,0.59
144,0.3246644669644919,0.46
145,0.33183666969334247,0.43
146,0.3236384199417034,0.4
147,0.8615813238911613,0.64
148,0.6989619276693537,0.68
149,0.7212542088916195,0.67
150,0.8943691594905376,0.63
151,0.8235981324357068,0.67
152,0.7113813582307773,0.63
153,0.796012443385307,0.67
154,0.87399265810782,0.66
155,0.5932788733431196,0.49
156,0.3278086022811092,0.5
157,0.6757167522636567,0.58
158,0.24366139253198116,0.38
159,0.464778362288527,0.45
160,0.2722625591505735,0.45
161,0.9404072851393587,0.68
162,0.030212517819065754,0.43
163,0.6692856817147448,0.61
164,0.8791421052206883,0.63
165,0.3029779853183461,0.33
166,0.575807525050569,0.51
167,0.4584349854348504,0.43
168,0.9514107258778032,0.75
169,0.38573946412461746,0.42
170,0.2985227376265349,0.46
171,0.33996543911874,0.43
172,0.36044644765990885,0.44
173,0.5857399311807272,0.6
174,0.6760047411669041,0.56
175,0.24342677309878524,0.37
176,0.5676539491887981,0.62
177,0.5746406202072495,0.54
178,0.005912020797106066,0.31
179,0.5523817157213506,0.49
180,0.16773975524022955,0.35
181,0.6564016027658497,0.49
182,0.4847040980675279,0.44
183,0.4340677334813845,0.39
184,0.3526759896011912,0.4
185,0.6068853093619314,0.6
186,0.1540776012200984,0.42
187,0.6345887985976458,0.58
188,0.9489236542805879,0.67
189,0.4680828469874536,0.49
190,0.8813650403772431,0.59
191,0.6287088461428401,0.49
192,0.05863226797939525,0.38
193,0.9121200886387618,0.67
194,0.15927749809576885,0.31
195,0.023443635990429534,0.36
196,0.8624757507432373,0.71
